meta_idx,date_accessed,Error,parent_doi,URL,citation,meta_cols,removed_cols
11,2024-02-06,No data in DOI reference,10.1594/PANGAEA.936226,https://doi.org/10.1594/PANGAEA.936226,"Boike, Julia; Bornemann, Niko; Cable, William L; Grünberg, Inge; Lange, Stephan (2021): Soil data at station Bayelva (2020, level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.936226, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",NA,NA
12,2024-02-06,None,10.1594/PANGAEA.898683,https://doi.org/10.1594/PANGAEA.898683,"Boike, Julia; Grünberg, Inge; Bornemann, Niko; Lange, Stephan (2019): Meteorological observations at Bayelva Station in 2018 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.898683, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",Longitude; Latitude; Date/Time,"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); Precip [mm]; Flag [#] (Precipitation); RH [%]; Flag [#] (Humidity, relative, 200 cm); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); SWU [W/m**2]; Flag [#] (Short-wave upward (REFLEX) ra...); LWD [W/m**2]; Flag [#] (Long-wave downward radiation); LWU [W/m**2]; Flag [#] (Long-wave upward radiation); ff [m/s]; Flag [#] (Wind speed, 200 cm); dd [deg]; Flag [#] (Wind direction, 200 cm); dd std dev [±]; Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Flag [#] (Snow height, profile b); Permittivity rel; Flag [#] (Permittivity); TTT [°C] (at 5 cm height); Flag [#] (Temperature, air, 5 cm); TTT [°C] (at 20 cm height); Flag [#] (Temperature, air, 20 cm); TTT [°C] (at 100 cm height); Flag [#] (Temperature, air, 100 cm)"
13,2024-02-06,No data in DOI reference,10.1594/PANGAEA.898685,https://doi.org/10.1594/PANGAEA.898685,"Boike, Julia; Grünberg, Inge; Bornemann, Niko; Lange, Stephan (2019): Soil data at station Bayelva (2018, level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.898685, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",NA,NA
14,2024-02-06,None,10.1594/PANGAEA.927403,https://doi.org/10.1594/PANGAEA.927403,"Boike, Julia; Grünberg, Inge; Lange, Stephan; Bornemann, Niko; Cable, William L; Lehr, Christian (2021): Meteorological observations at Bayelva Station in 2019 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.927403, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); Precip [mm]; Flag [#] (Precipitation); RH [%] (at 200 cm height); Flag [#] (Humidity, relative, 200 cm); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); SWU [W/m**2]; Flag [#] (Short-wave upward (REFLEX) ra...); LWD [W/m**2]; Flag [#] (Long-wave downward radiation); LWU [W/m**2]; Flag [#] (Long-wave upward radiation); ff [m/s] (at 200 cm height); Flag [#] (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag [#] (Wind direction, 200 cm); dd std dev [±]; Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Flag [#] (Snow height, profile b); Permittivity rel; Flag [#] (Permittivity); TTT [°C] (at 5 cm height); Flag [#] (Temperature, air, 5 cm); TTT [°C] (at 20 cm height); Flag [#] (Temperature, air, 20 cm); TTT [°C] (at 100 cm height); Flag [#] (Temperature, air, 100 cm)"
15,2024-02-06,No data in DOI reference,10.1594/PANGAEA.928928,https://doi.org/10.1594/PANGAEA.928928,"Boike, Julia; Grünberg, Inge; Lange, Stephan; Bornemann, Niko; Cable, William L; Lehr, Christian (2021): Soil data at station Bayelva (2019, level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.928928, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",NA,NA
16,2024-02-06,None,10.1594/PANGAEA.948950,https://doi.org/10.1594/PANGAEA.948950,"Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L; Lange, Stephan (2022): Meteorological observations at Bayelva Station in 2021 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.948950, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); QF TTT (200 cm); Precip [mm]; QF precip; RH [%] (at 200 cm height); QF RH (200 cm); NET [W/m**2]; QF NR; SWD [W/m**2]; QF SWD; SWU [W/m**2]; QF SWU; LWD [W/m**2]; QF LWD; LWU [W/m**2]; QF LWU; ff [m/s] (at 200 cm height); QF wind speed (200 cm); dd [deg] (at 200 cm height); QF wind dir (200 cm); dd std dev [±] (at 200 cm); Flag (Wind direction, standard devi...); QF snow h (Profile a); QF snow h (Profile b); Permittivity rel; QF permittivity; TTT [°C] (at 5 cm height); QF TTT (Tair,5 cm); TTT [°C] (at 20 cm height); QF TTT (Tair,20 cm); TTT [°C] (at 100 cm height); QF TTT (Tair,100 cm)"
17,2024-02-06,No data in DOI reference,10.1594/PANGAEA.949047,https://doi.org/10.1594/PANGAEA.949047,"Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L; Lange, Stephan (2022): Soil data at station Bayelva (2021, level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.949047, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",NA,NA
18,2024-02-06,None,10.1594/PANGAEA.961672,https://doi.org/10.1594/PANGAEA.961672,"Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2023): Meteorological observations at Bayelva Station in 2022 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.961672, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); QF air temp (200 cm); Precip [mm]; QF precip; RH [%] (at 200 cm height); QF RH (200 cm); NET [W/m**2]; QF NR; SWD [W/m**2]; QF SWD; SWU [W/m**2]; QF SWU; LWD [W/m**2]; QF LWD; LWU [W/m**2]; QF LWU; ff [m/s] (at 200 cm height); QF wind speed (200 cm); dd [deg] (at 200 cm height); QF wind dir (200 cm); dd std dev [±] (at 200 cm); Flag (Wind direction, standard devi...); QF snow h (Profile a); QF snow h (Profile b); Permittivity rel (0-30cm height, air and snow); QF permittivity; TTT [°C] (at 5 cm height); QF air temp (5 cm); TTT [°C] (at 20 cm height); QF air temp (20 cm); TTT [°C] (at 100 cm height); QF air temp (100 cm)"
19,2024-02-06,No data in DOI reference,10.1594/PANGAEA.961673,https://doi.org/10.1594/PANGAEA.961673,"Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2023): Soil data at station Bayelva (2022, level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.961673, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",NA,NA
20,2024-02-06,No columns with data,10.1594/PANGAEA.882058,https://doi.org/10.1594/PANGAEA.882058,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorologic data at station Bayelva (1998-2017, level 1, version 1), link to archive. PANGAEA, https://doi.org/10.1594/PANGAEA.882058, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",NA,NA
21,2024-02-06,No columns with data,10.1594/PANGAEA.882059,https://doi.org/10.1594/PANGAEA.882059,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorologic data at station Bayelva (1998-2017, level 2, version 1), link to archive. PANGAEA, https://doi.org/10.1594/PANGAEA.882059, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",NA,NA
22,2024-02-06,None,10.1594/PANGAEA.881815,https://doi.org/10.1594/PANGAEA.881815,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorological observations at Bayelva Station in 1998 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.881815, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); ff [m/s] (at 200 cm height); Flag [#] (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag [#] (Wind direction, 200 cm); dd std dev [±] (at 200 cm height); Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Permittivity rel; Flag [#] (Permittivity); TTT [°C] (at 35 cm height); Flag [#] (Temperature, air, 35 cm); TTT [°C] (at 48 cm height); Flag [#] (Temperature, air, 48 cm)"
23,2024-02-06,None,10.1594/PANGAEA.881816,https://doi.org/10.1594/PANGAEA.881816,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorological observations at Bayelva Station in 1999 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.881816, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); Precip [mm]; Flag [#] (Precipitation); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); ff [m/s] (at 200 cm height); Flag [#] (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag [#] (Wind direction, 200 cm); dd std dev [±] (at 200 cm height); Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Permittivity rel; Flag [#] (Permittivity); TTT [°C] (at 35 cm height); Flag [#] (Temperature, air, 35 cm); TTT [°C] (at 48 cm height); Flag [#] (Temperature, air, 48 cm)"
24,2024-02-06,None,10.1594/PANGAEA.881817,https://doi.org/10.1594/PANGAEA.881817,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorological observations at Bayelva Station in 2000 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.881817, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); Precip [mm]; Flag [#] (Precipitation); RH [%] (at 200 cm height); Flag [#] (Humidity, relative, 200 cm); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); ff [m/s] (at 200 cm height); Flag [#] (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag [#] (Wind direction, 200 cm); dd std dev [±] (at 200 cm height); Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Permittivity rel; Flag [#] (Permittivity); TTT [°C] (at 20 cm height); Flag [#] (Temperature, air, 20 cm); TTT [°C] (at 35 cm height); Flag [#] (Temperature, air, 35 cm); TTT [°C] (at 48 cm height); Flag [#] (Temperature, air, 48 cm); TTT [°C] (at 100 cm height); Flag [#] (Temperature, air, 100 cm)"
25,2024-02-06,None,10.1594/PANGAEA.881818,https://doi.org/10.1594/PANGAEA.881818,"Boike, Julia; Juszak, Inge; Lange, Stephan; Chadburn, Sarah; Burke, Eleanor J; Overduin, Pier Paul; Roth, Kurt; Ippisch, Olaf; Bornemann, Niko; Stern, Lielle; Gouttevin, Isabelle; Hauber, Ernst; Westermann, Sebastian (2017): Meteorological observations at Bayelva Station in 2001 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.881818, In supplement to: Boike, J et al. (2018): A 20-year record (1998-2017) of permafrost, active layer and meteorological conditions at a high Arctic permafrost research site (Bayelva, Spitsbergen). Earth System Science Data, 10(1), 355-390, https://doi.org/10.5194/essd-10-355-2018",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag [#] (Temperature, air, 200 cm); Precip [mm]; Flag [#] (Precipitation); RH [%] (at 200 cm height); Flag [#] (Humidity, relative, 200 cm); NET [W/m**2]; Flag [#] (Net radiation); SWD [W/m**2]; Flag [#] (Short-wave downward (GLOBAL) ...); ff [m/s] (at 200 cm height); Flag [#] (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag [#] (Wind direction, 200 cm); dd std dev [±] (at 200 cm height); Flag [#] (Wind direction, standard devi...); Flag [#] (Snow height, profile a); Permittivity rel; Flag [#] (Permittivity); Flag [#] (Temperature, air, 20 cm); TTT [°C] (at 35 cm height); Flag [#] (Temperature, air, 35 cm); Flag [#] (Temperature, air, 48 cm); TTT [°C] (at 100 cm height); Flag [#] (Temperature, air, 100 cm)"
