site,site_long,site_alt
NA,NA,Buskogen
NA,NA,Buvika/Ilhaugen
NA,NA,Bybrua
NA,NA,Byflaten
NA,NA,Bygland
NA,NA,Byglandsfjord
NA,NA,Bykle
NA,NA,Byremo
NA,NA,Byrkjelo
NA,NA,Byrknes
NA,NA,Båtsfjord
NA,NA,Båtstø
NA,NA,Bø
NA,NA,Børsa
NA,NA,Bøverbru
NA,NA,Dale
NA,NA,Dalemarka
NA,NA,Dalen
NA,NA,Darbu
NA,NA,Davanger
NA,NA,Degernes
NA,NA,Dimmelsvik
NA,NA,Dimna
NA,NA,Disenå
disko,Qeqertarsuup Tunua,Disko Bay
NA,NA,Dokka
NA,NA,Dombås
NA,NA,Dovre
NA,NA,Drag
NA,NA,Dragsund
NA,NA,Drammen
NA,NA,Drøbak
NA,NA,Dyrnesvågen
EU,EU,EU
NA,NA,Eastgreenland
NA,NA,Egersund
NA,NA,Eggkleiva
NA,NA,Eidbukta
NA,NA,Eide
NA,NA,Eidfjord
NA,NA,Eidsbotn
NA,NA,Eidsvik
NA,NA,Eidsvoll
NA,NA,Eidsvåg
NA,NA,Eike
NA,NA,Eikefjord
NA,NA,Eikeland
NA,NA,Eikelandsosen
NA,NA,Eina
NA,NA,Eitrheim
NA,NA,Eivindvik
NA,NA,Ekeberg
NA,NA,Ekne
NA,NA,Elnesvågen
NA,NA,Eltonåsen
NA,NA,Elverum
NA,NA,Engelsviken
NA,NA,Ersfjordbotn
NA,NA,Espeland
NA,NA,Etne
NA,NA,Evenskjær
NA,NA,Evje
NA,NA,Fagerliåsen/Poverudbyen
NA,NA,Fagernes
NA,NA,Fagernes Leirin
NA,NA,Fagerstrand
NA,NA,Fanahammeren
NA,NA,Fardalen
NA,NA,Farestad
NA,NA,Faroe Island
NA,NA,Faroe island
NA,NA,Farstad
NA,NA,Farsund
NA,NA,Fauske
NA,NA,Feda
NA,NA,Fedje
NA,NA,Ferkingstad
NA,NA,Fetsund
NA,NA,Fetsund-Østersund
NA,NA,Fevik
NA,NA,Fiksdal
NA,NA,Fillan
NA,NA,Finnbråtan
NA,NA,Finneidfjord
NA,NA,Finnestad
NA,NA,Finnsnes
NA,NA,Fiskåbygd
NA,NA,Fister
NA,NA,Fitjar
NA,NA,Fjell
NA,NA,Fjelldal
NA,NA,Fjellfoten
NA,NA,Fjellsrud
NA,NA,Fjellstad
NA,NA,Fjellstrand
NA,NA,Fjordgard
NA,NA,Flateby
NA,NA,Flekke
NA,NA,Flekkefjord
NA,NA,Flesland
NA,NA,Flisa
NA,NA,Florø
NA,NA,Flåm
NA,NA,Foldrøy
NA,NA,Folkestad
NA,NA,Follafoss
NA,NA,Folldal
NA,NA,Follebu
NA,NA,Forbregd/Lein
NA,NA,Forland
NA,NA,Forsand
NA,NA,Forset
NA,NA,Forsøl
NA,NA,Fosby
NA,NA,Fosnavåg
NA,NA,Fosnavåg/Leinstrand
NA,NA,Fossbergom
NA,NA,Fosser
NA,NA,Fossmo
NA,NA,Fossnes
NA,NA,Fotlandsvåg
NA,NA,Fredrikstad
NA,NA,Fredrikstad/Sarpsborg
NA,NA,Frekhaug
NA,NA,Frogner
NA,NA,Frommereid
NA,NA,Frosta
NA,NA,Fuglevik
NA,NA,Furuflaten
NA,NA,Fyresdal
NA,NA,Fåberg
NA,NA,Fåvang
NA,NA,Førde
NA,NA,Førde Bringeland
NA,NA,Førdesfjorden
NA,NA,Føresvik
NA,NA,Gamleveien
NA,NA,Gamvik
NA,NA,Gangstadhaugen
NA,NA,Gata
NA,NA,Gaupne
NA,NA,Geilo
NA,NA,Geilolie
NA,NA,Geitnes
NA,NA,Gibostad
NA,NA,Gilja
NA,NA,Giske
NA,NA,Gjerde
NA,NA,Gjermundshamn
NA,NA,Gjerstad
NA,NA,Gjusvik
NA,NA,Gjølme
NA,NA,Gjøvik
NA,NA,Gladstad
NA,NA,Glesnes
NA,NA,Glomfjord
NA,NA,Glomstein
NA,NA,Glosli
NA,NA,Glåmos
NA,NA,Glærem
NA,NA,Gol
NA,NA,Gomnes
NA,NA,Gran/Ringstad
NA,NA,Granrudmoen
NA,NA,Granrudmoen-Øyer
NA,NA,Granvin
NA,NA,Gravdal
NA,NA,Gretteåsen
NA,NA,Grimstad
NA,NA,Grinde
NA,NA,Grinder
NA,NA,Grodås
NA,NA,Grong
NA,NA,Grov
NA,NA,Grua
NA,NA,Gryllefjord
NA,NA,Grøa
green,green,Grønlund
NA,NA,Grønvoll
NA,NA,Gullhaug
NA,NA,Gvarv
NA,NA,Haddal
NA,NA,Hafslo
NA,NA,Haga
NA,NA,Haganes
NA,NA,Hagavik
NA,NA,Hakadal
NA,NA,Halden
NA,NA,Haljem
NA,NA,Hallingby
NA,NA,Halmstad
NA,NA,Hamar
NA,NA,Hamarøy
NA,NA,Hammarsland
NA,NA,Hammarvika
NA,NA,Hammerfest
NA,NA,Hammerstad
NA,NA,Hamna
NA,NA,Hamnås
NA,NA,Hamre (Osterøy)
NA,NA,Hamre (Øygarden)
NA,NA,Hansnes
NA,NA,Hanøy
NA,NA,Hardbakke
NA,NA,Hareid
NA,NA,Harestua
NA,NA,Harpefoss
NA,NA,Harstad
NA,NA,Harstad/Narvik Evenes
NA,NA,Hasle
NA,NA,Hasvik
NA,NA,Hattfjelldal
NA,NA,Hauge
NA,NA,Haugesund
NA,NA,Haugesund Karmøy
NA,NA,Haugland
NA,NA,Haugo
NA,NA,Haugsbygda
NA,NA,Hauknes
NA,NA,Hausvik
NA,NA,Havøysund
NA,NA,Heggedal
NA,NA,Heggelia
NA,NA,Heggenes
NA,NA,Hegra
NA,NA,Heimdal
NA,NA,Heiås
NA,NA,Helgelandsmoen
NA,NA,Helgeroa/Nevlunghamn
NA,NA,Helgestad
NA,NA,Hell
NA,NA,Helle
NA,NA,Hellerud
NA,NA,Hellesylt
NA,NA,Hellvik
NA,NA,Helsem
NA,NA,Hem
NA,NA,Hemnes
NA,NA,Hemnesberget
NA,NA,Hemsedal
NA,NA,Hen
NA,NA,Henningsvær
NA,NA,Heradsbygd
NA,NA,Hermansverk/Leikanger
NA,NA,Herre
NA,NA,Herøysund
NA,NA,Hesseng
NA,NA,Hesthagen
NA,NA,Hestnes (Eigersund)
NA,NA,Hestnes (Luster)
NA,NA,Hestvika
NA,NA,Hillestad
NA,NA,Hjelmelandsvågen
NA,NA,Hjelset
NA,NA,Hjukse
NA,NA,Hjørungavåg
NA,NA,Hoelsand
NA,NA,Hof
NA,NA,Hoffland
NA,NA,Hognesaunet
NA,NA,Hogsetfeltet
NA,NA,Hol
NA,NA,Holevik
NA,NA,Hollingen
NA,NA,Holm
NA,NA,Holme
NA,NA,Holmestrand
NA,NA,Holmsbu
NA,NA,Hommelstø
NA,NA,Hommelvik
NA,NA,Hommersåk
por,Porsangerfjorden,Honningsvåg
por,Porsangerfjorden,Honningsvåg Valan
NA,NA,Hoppestad
NA,NA,Hordnes
NA,NA,Horten
NA,NA,Hov
NA,NA,Hovden
NA,NA,Hovdenakken
NA,NA,Hovin
NA,NA,Hundeidvik
NA,NA,Hundorp
NA,NA,Hunn
NA,NA,Husnes
NA,NA,Husøy
NA,NA,Hvasser
NA,NA,Hvitsten
NA,NA,Hvittingfoss
NA,NA,Hyggen
NA,NA,Hylkje
NA,NA,Hylla
NA,NA,Hå
NA,NA,Håkvik
NA,NA,Hålandsmarka
NA,NA,Hæen
NA,NA,Hægeland
NA,NA,Høie
NA,NA,Høle
NA,NA,Hølen
NA,NA,Høllen
NA,NA,Hønefoss
NA,NA,Høvåg
NA,NA,Høyanger
NA,NA,Høyjord
NA,NA,Høylandet
NA,NA,Høysand
NA,NA,Ibestad
NA,NA,Iceland
NA,NA,Ices International
NA,NA,Ikornnes
NA,NA,Ilseng
disko,Qeqertarsuup Tunua,Ilulissat
disko,Qeqertarsuup Tunua,Ilulissat (*)
NA,NA,Inderøy
NA,NA,Indre Fosen
NA,NA,Ingeberg
NA,NA,Innbygda
NA,NA,Inndyr
NA,NA,Innfjorden
NA,NA,Innlandet
NA,NA,Innvik
NA,NA,Ise
NA,NA,Isebakke
NA,NA,Isfjorden
NA,NA,Ittoqqortoormiit
NA,NA,Jansberg
NA,NA,Jelsnes
NA,NA,Jessheim
NA,NA,Jevnaker
NA,NA,Jondal
NA,NA,Jortveit
NA,NA,Judaberg
NA,NA,Jørpeland
NA,NA,Jørstadmoen
NA,NA,Jørstadmoen/Fåberg
NA,NA,Kabelvåg
NA,NA,Kaland
NA,NA,Kaldfjord
NA,NA,Kalvåg
NA,NA,Kampå
disko,Qeqertarsuup Tunua,Kangaatsiaq
NA,NA,Kangerlussuaq
NA,NA,Kapp
NA,NA,Karasjok
NA,NA,Karlestrand
NA,NA,Karlshus
NA,NA,Karlsøy
NA,NA,Kasfjord
NA,NA,Kaupanger
NA,NA,Kautokeino
NA,NA,Kiberg
NA,NA,Kil
NA,NA,Kilbotn
NA,NA,Kilsund
NA,NA,Kinsarvik
NA,NA,Kirkebygda
NA,NA,Kirkebygden
NA,NA,Kirkegrenda
NA,NA,Kirkenes
NA,NA,Kirkenes Høybuktmoen
NA,NA,Kirkenær
NA,NA,Kirkevoll/Brekkeåsen
NA,NA,Kjellmyra
NA,NA,Kjenner
NA,NA,Kjosen
NA,NA,Kjøllefjord
NA,NA,Kjøpmannsskjær
NA,NA,Kjøpsvik
NA,NA,Kjørnes
NA,NA,Kleive
NA,NA,Klepp
NA,NA,Kleppe/Verdalen
NA,NA,Klevjer
NA,NA,Klokkarstua
NA,NA,Klokkarvik
NA,NA,Klæbu
NA,NA,Kløfta
NA,NA,Knapper
NA,NA,Knappskog
NA,NA,Knapstad
NA,NA,Knarrevik/Straume
NA,NA,Knarvik
NA,NA,Kodal
NA,NA,Kolbu
NA,NA,Kolnes
NA,NA,Kolvereid
NA,NA,Kommune Kujalleq
disko,Qeqertarsuup Tunua,Kommune Qeqertalik
nuup,Nuup Kangerlua,Kommuneqarfik Sermersooq
nuup,Nuup Kangerlua,Kommuneqarfik Sermersooq Vest
NA,NA,Kommuneqarfik Sermersooq Øst
NA,NA,Konglungen
NA,NA,Kongsberg
NA,NA,Kongshamn
NA,NA,Kongsvinger
NA,NA,Konnerud
NA,NA,Kopervik
NA,NA,Koppang
NA,NA,Kopperå
NA,NA,Korgen
NA,NA,Korsvegen
NA,NA,Korsvik
NA,NA,Kragerø
NA,NA,Kristiansand
NA,NA,Kristiansand Kjevik
NA,NA,Kristiansund
NA,NA,Kristiansund Kvernberget
NA,NA,Krokeidet
NA,NA,Kroksund
NA,NA,Krossberg
NA,NA,Krossen
NA,NA,Krossneset
NA,NA,Kråkstad
NA,NA,Krøderen
NA,NA,Kulusuk
NA,NA,Kvalsund
NA,NA,Kvalsvik
NA,NA,Kvalvåg
NA,NA,Kvaløysletta
NA,NA,Kvam
NA,NA,Kvelde
NA,NA,Kvernaland
NA,NA,Kviteseid
NA,NA,Kvithammer
NA,NA,Kvål
NA,NA,Kylstad
NA,NA,Kyrkjebø
NA,NA,Kyrksæterøra
NA,NA,Kåfjordbotn
NA,NA,Kårvåg
por,Porsangerfjorden,Lakselv
por,Porsangerfjorden,Lakselv Banak
NA,NA,Lalm
NA,NA,Lampeland
NA,NA,Langangen
NA,NA,Langevåg
NA,NA,Langhaugane
NA,NA,Langset
NA,NA,Langørjan
NA,NA,Langøy
NA,NA,Larkollen
NA,NA,Larsnes
NA,NA,Larvik
NA,NA,Lauve/Viksjord
NA,NA,Lauvsnes
NA,NA,Leikanger
NA,NA,Leikong
NA,NA,Leinesfjord
NA,NA,Leinstrand
NA,NA,Leira
NA,NA,Leirsund
NA,NA,Leirvik
NA,NA,Leitebakk
NA,NA,Leknes
NA,NA,Leksvik
NA,NA,Leland
NA,NA,Lena
NA,NA,Lensbygda
NA,NA,Ler
NA,NA,Lerkehaug
NA,NA,Lervik
NA,NA,Lesja
NA,NA,Levanger
NA,NA,Li
NA,NA,Lia
NA,NA,Liabø
NA,NA,Lierbyen
NA,NA,Liknes
NA,NA,Liland
NA,NA,Lillehammer
NA,NA,Lillesand
NA,NA,Lindeberg
NA,NA,Lindås
NA,NA,Linnestad
NA,NA,Lismarka
NA,NA,Lofthus
NA,NA,Lommedalen
NA,NA,Lonevåg
NA,NA,Longum
NA,NA,Longva
is,Isfjorden,Longyearbyen & Ny-Alesund
NA,NA,Loppa
NA,NA,Lovund
NA,NA,Lundamo
NA,NA,Lunde
NA,NA,Lundermoen
NA,NA,Lunner
NA,NA,Luster
NA,NA,Lyefjell
NA,NA,Lyngdal
NA,NA,Lyngseidet
NA,NA,Lysthaugen
NA,NA,Lysøysund
NA,NA,Lærdalsøyri
NA,NA,Løding
NA,NA,Lødingen
NA,NA,Løiten brænderi
NA,NA,Løken
NA,NA,Løkenfeltet
NA,NA,Løkken
NA,NA,Løpsmarka
NA,NA,Lørenfallet
NA,NA,Løstad
NA,NA,Løten
NA,NA,Magnor
NA,NA,Malm
NA,NA,Malme
NA,NA,Malmheim
NA,NA,Malvik
NA,NA,Mandal
NA,NA,Manger
NA,NA,Maniitsoq
NA,NA,Maura
NA,NA,Mausund
NA,NA,Mebonden
NA,NA,Mehamn
NA,NA,Mek
NA,NA,Melandsvågen
NA,NA,Melbu
NA,NA,Meldal
NA,NA,Melhus
NA,NA,Melsomvik
NA,NA,Mesnali
NA,NA,Midsund
NA,NA,Midtbygda
NA,NA,Miland
NA,NA,Minnesund
NA,NA,Misje
NA,NA,Missingmyr
NA,NA,Misvær
NA,NA,Mo
NA,NA,Mo i Rana
NA,NA,Mo i Rana Røssvold
NA,NA,Moane
NA,NA,Moelv
NA,NA,Moen
NA,NA,Mogrenda
NA,NA,Moi
NA,NA,Molde
NA,NA,Molde Årø
NA,NA,Moldekleiv
NA,NA,Moltustranda
NA,NA,Momarka
NA,NA,Momoen
NA,NA,Monssveen
NA,NA,Mork
NA,NA,Mosby
NA,NA,Mosjøen
NA,NA,Mosjøen Kjærstad
NA,NA,Moss
NA,NA,Moss Rygge
NA,NA,Mosterhamn
NA,NA,Mosvik
NA,NA,Movatn
NA,NA,Movik
NA,NA,Mule
NA,NA,Muruvik
NA,NA,Myklebost
NA,NA,Myra
NA,NA,Myre
NA,NA,Mysen
NA,NA,Måløy
NA,NA,Mælan
NA,NA,Mære
NA,NA,Mønshaugen-Bjørgum
NA,NA,Møre og Romsdal
NA,NA,Møvik
NA,NA,Nafo International
NA,NA,Nakkerud
NA,NA,Namdalseid
NA,NA,Namnå
NA,NA,Namsos
NA,NA,Namsskogan sentrum
NA,NA,Nanortalik
NA,NA,Napp
NA,NA,Narsaq
NA,NA,Narsarsuaq
NA,NA,Narvik
NA,NA,Narvik Framnes
NA,NA,Naustdal
NA,NA,Nedstrand
NA,NA,Nerlerit inaat
NA,NA,Nes
NA,NA,Nesbyen
NA,NA,Nesbygda
NA,NA,Neset
NA,NA,Nesgrenda
NA,NA,Nesjestranda
NA,NA,Neskollen
NA,NA,Neslandsvatn
NA,NA,Nesna
NA,NA,Nesoddtangen
NA,NA,Nodeland
NA,NA,Nodeland-Brennåsen
NA,NA,Nodelandsheia
NA,NA,Nord-Sel
NA,NA,Nordagutu
NA,NA,Nordal
NA,NA,Nordbøåsane
NA,NA,Norderhaug
NA,NA,Norderhov
NA,NA,Nordfjordeid
NA,NA,Nordhagen
NA,NA,Nordheim-Kyte
NA,NA,Nordhus
NA,NA,Nordkisa
NA,NA,Nordkjosbotn
NA,NA,Nordland - Nordlánnda
NA,NA,Nordlia
NA,NA,Nordstrand
NA,NA,Nordvik
NA,NA,Nordvågen
NA,NA,Noresund
NA,NA,Norheimsund
nor,nor,Norway
NA,NA,Not urban settlement
NA,NA,Notodden
nuup,Nuup Kangerlua,Nuuk
NA,NA,Nybergsund
NA,NA,Nydal
NA,NA,Nykirke
NA,NA,Nymoen
NA,NA,Nypan
NA,NA,Nærbø
NA,NA,Nærland
NA,NA,Nærsnes
NA,NA,Odda
NA,NA,Oddevall/Sjåstad
NA,NA,Ogna
NA,NA,Olden
NA,NA,Olderdalen
NA,NA,Oltedal
NA,NA,Oma
NA,NA,Opakermoen
NA,NA,Oppdal
NA,NA,Oppeid
NA,NA,Opphaug
NA,NA,Orkanger/Fannrem
NA,NA,Orkland
NA,NA,Ormåsen
NA,NA,Os
NA,NA,Oslo
NA,NA,Oslo Gardermoen
NA,NA,Osøyro
NA,NA,Other sea
NA,NA,Otnes
NA,NA,Otta
NA,NA,Ottersbo
NA,NA,Ottersøy
young,Young Sound,Outside municipalities
NA,NA,Over-the-side sales ship
NA,NA,Paamiut
NA,NA,Padlene
NA,NA,Pepperstad skog
NA,NA,Ploganes
NA,NA,Pollestad
NA,NA,Porsgrunn/Skien
NA,NA,Prestegårdshagen
NA,NA,Prestfoss
NA,NA,Prestmoen
NA,NA,Preststranda
NA,NA,Qaanaaq
NA,NA,Qaasuitsup Kommunia
NA,NA,Qaqortoq
disko,Qeqertarsuup Tunua,Qasigiannguit
NA,NA,Qassiarsuk
disko,Qeqertarsuup Tunua,Qeqertarsuaq
NA,NA,Qeqqata Kommunia
NA,NA,Rabben-Veivågen
NA,NA,Rafsbotn
NA,NA,Rakkestad
NA,NA,Ramsund
NA,NA,Ramsøy
NA,NA,Ranemsletta
NA,NA,Raudeberg
NA,NA,Raufoss
NA,NA,Rausand
NA,NA,Re
NA,NA,Reine
NA,NA,Reinsvoll
NA,NA,Reipå
NA,NA,Reistad
NA,NA,Remøy
NA,NA,Rena
NA,NA,Renbygda
NA,NA,Rensvik
NA,NA,Revetal/Bergsåsen
NA,NA,Rindal
NA,NA,Ringebu
NA,NA,Ringvoll
NA,NA,Ringvål
NA,NA,Rissa
NA,NA,Risør
NA,NA,Risøyhamn
NA,NA,Rjukan
NA,NA,Roa
NA,NA,Roa/Lunner
NA,NA,Roald
NA,NA,Rogaland
NA,NA,Rognan
NA,NA,Romedal sentrum
NA,NA,Rophus
NA,NA,Rosendal
NA,NA,Rossnes
NA,NA,Rostadneset
NA,NA,Rotnes
NA,NA,Roverud
NA,NA,Rubbestadneset
NA,NA,Russia
NA,NA,Rustad
NA,NA,Rykene
NA,NA,Rypefjord
NA,NA,Råholt
NA,NA,Råkvågen
NA,NA,Rånerudåsen
NA,NA,Røbekk
NA,NA,Rød
NA,NA,Rødberg
NA,NA,Rødøy
NA,NA,Røkland
NA,NA,Røldal
NA,NA,Røn
NA,NA,Rønningåsen
NA,NA,Røra Stasjon
NA,NA,Røros
NA,NA,Rørvik
NA,NA,Rørvik Ryum
NA,NA,Røst
NA,NA,Røstlandet
NA,NA,Røsvik
NA,NA,Røyken
NA,NA,Røyrvik
NA,NA,Saggrenda
NA,NA,Sagvåg
NA,NA,Sakshaug
NA,NA,Sand
NA,NA,Sandane
NA,NA,Sandane Anda
NA,NA,Sandbumoen
NA,NA,Sande
NA,NA,Sandefjord
NA,NA,Sandefjord Torp
NA,NA,Sandeid
NA,NA,Sander
NA,NA,Sandnes
NA,NA,Sandnessjøen
NA,NA,Sandnessjøen Stokka
NA,NA,Sandve
NA,NA,Sandvika
NA,NA,Sandvoll
NA,NA,Sandøya
NA,NA,Sauda
NA,NA,Segalstad bru
NA,NA,Seim
NA,NA,Seimsdalen
NA,NA,Seimsfoss
NA,NA,Sekkingstad
NA,NA,Selbekken
NA,NA,Selje
NA,NA,Seljord
NA,NA,Selvik
NA,NA,Sem
NA,NA,Senja
NA,NA,Senjehopen
NA,NA,Sessvollmoen
NA,NA,Setermoen
NA,NA,Setskog
NA,NA,Sigerfjord
NA,NA,Siggerud
NA,NA,Siljan
NA,NA,Silsand
NA,NA,Silvalen
NA,NA,Sira
NA,NA,Sirevåg
NA,NA,Sisimiut
NA,NA,Sistranda
NA,NA,Sjøholt
NA,NA,Sjøvegan
NA,NA,Skaland
NA,NA,Skarde
NA,NA,Skarnes
NA,NA,Skarpengland
NA,NA,Skatval
NA,NA,Skaun
NA,NA,Skei
NA,NA,Skei-Surnadalsøra
NA,NA,Skeie
NA,NA,Ski
NA,NA,Skibotn
NA,NA,Skien Geitryggen
NA,NA,Skiptvet
NA,NA,Skivika
NA,NA,Skjeberg
NA,NA,Skjeggestadåsen
NA,NA,Skjelnan
NA,NA,Skjervøy
NA,NA,Skjold
NA,NA,Skjærhollen
NA,NA,Skjønhaug
NA,NA,Skodje
NA,NA,Skoge/Møvik
NA,NA,Skoger
NA,NA,Skogmo
NA,NA,Skogn
NA,NA,Skogrand
NA,NA,Skogsvågen
NA,NA,Skollenborg
NA,NA,Skomrak
NA,NA,Skoppum
NA,NA,Skotbu
NA,NA,Skotselv
NA,NA,Skotterud
NA,NA,Skre
NA,NA,Skreia
NA,NA,Skrova
NA,NA,Skudeneshavn
NA,NA,Skulestadmoen
NA,NA,Skutvik
NA,NA,Skytterhusfjellet
NA,NA,Skålevik
NA,NA,Skånevik
NA,NA,Skåra
NA,NA,Skøelv
NA,NA,Slemsrud
NA,NA,Sletta
NA,NA,Slettebrotane
NA,NA,Slevik
NA,NA,Slidre
NA,NA,Slitu
NA,NA,Slåttevik
NA,NA,Smedhus
NA,NA,Smestad
NA,NA,Smiskaret
NA,NA,Småland
NA,NA,Sneltvedt
NA,NA,Snurråsen
NA,NA,Snåsa
NA,NA,Sogndal Haukåsen
NA,NA,Sogndalsfjøra
NA,NA,Sokna
NA,NA,Soknedal
NA,NA,Sola
NA,NA,Solbakken-Sofienberg
NA,NA,Solerød
NA,NA,Solfjellsjyen
NA,NA,Sollihøgda
NA,NA,Solsletta
NA,NA,Solsvik
NA,NA,Sommarøy
NA,NA,Son/Store Brevik
NA,NA,Sorken
NA,NA,Sortland
NA,NA,Sparbu
NA,NA,Spetalen
NA,NA,Spillum
NA,NA,Spillumstranda
NA,NA,Spongdal
NA,NA,Sponvika
NA,NA,Spydeberg
NA,NA,Stadsbygd
NA,NA,Stamsund
NA,NA,Stange
NA,NA,Stanghelle
NA,NA,Stavanger Sola
NA,NA,Stavanger/Sandnes
NA,NA,Stavern
NA,NA,Stavsjø
NA,NA,Steinkjer
NA,NA,Steinshamn
NA,NA,Steinsåsen
NA,NA,Steinvåg
NA,NA,Stenebyen
NA,NA,Stetteremma
NA,NA,Stikkaåsen
NA,NA,Stjørdalshalsen
NA,NA,Stokke
NA,NA,Stokmarknes
NA,NA,Stokmarknes Skagen
NA,NA,Storbakken
NA,NA,Stord Sørstokken
NA,NA,Stordal
NA,NA,Storebø
NA,NA,Storevar
NA,NA,Storforshei
NA,NA,Storsand
NA,NA,Storslett
NA,NA,Storsteinnes
NA,NA,Storås
NA,NA,Strai
NA,NA,Strand
NA,NA,Stranda
NA,NA,Straume
NA,NA,Straumen
NA,NA,Straumgjerde
NA,NA,Stryn
NA,NA,Strømsnes
NA,NA,Styrigrenda
NA,NA,Støren
NA,NA,Sulitjelma
NA,NA,Sundbyfoss
NA,NA,Sunde/Valen
NA,NA,Sundgot
NA,NA,Sundvollen
NA,NA,Sunnan
NA,NA,Sunndalsøra
sval,sval,Svalbard
is,Isfjorden,Svalbard Longyear
NA,NA,Svalia
NA,NA,Svarstad
NA,NA,Sveggen
NA,NA,Sveio
NA,NA,Svelgen
NA,NA,Svelvik
NA,NA,Svene
NA,NA,Svenevik
NA,NA,Svennevik
NA,NA,Sviland
NA,NA,Svinndal
NA,NA,Svolvær
NA,NA,Svolvær Helle
NA,NA,Svorkmo
NA,NA,Svortland
NA,NA,Svøo
NA,NA,Sykkylven
NA,NA,Sylling
NA,NA,Sylte
NA,NA,Sysle
NA,NA,Sånum
NA,NA,Såstadbråten
NA,NA,Sæbøvik
NA,NA,Sætre
NA,NA,Sætrebakkane
NA,NA,Søfteland
NA,NA,Søgne
NA,NA,Sønsterud
NA,NA,Sørarnøy
NA,NA,Sørbygdafeltet
NA,NA,Søre Øyane
NA,NA,Sørkjosen
NA,NA,Sørland
NA,NA,Sørreisa
NA,NA,Sørumsand
NA,NA,Sørvågen
NA,NA,Sørvær
NA,NA,Søvik
NA,NA,Talvik
NA,NA,Tana Bru
NA,NA,Tananger
NA,NA,Tanem
NA,NA,Tangen
NA,NA,Tasiilaq
NA,NA,Tau
NA,NA,Teigebyen
NA,NA,Tennebøen
NA,NA,Tennevoll
NA,NA,Terråk
NA,NA,Tingnes
NA,NA,Tingvollvågen
NA,NA,Tinn austbygd
NA,NA,Tjøme
NA,NA,Tjørvåg
NA,NA,Tjøtta
NA,NA,Toft
NA,NA,Tofte
NA,NA,Togrenda
NA,NA,Tolga
NA,NA,Tomb
NA,NA,Tomra
NA,NA,Tomter
NA,NA,Tomteråsen
NA,NA,Tonstad
NA,NA,Torget
NA,NA,Torhaug
