category,driver,variable
bio,biomass,Fossula arctica [% total]
bio,biomass,Fossula arctica [%]
bio,biomass,Fragilaria cf sopotensis [%]
bio,biomass,Fragilaria fasciculata [%]
bio,biomass,Fragilaria islandica [% total]
bio,biomass,Fragilaria sp [%]
bio,biomass,Fragilaria sp. [%]
bio,biomass,Fragilaria spp. [% total]
bio,biomass,Fragilaria striatula [%]
bio,biomass,Fragilariopsis atlanticus [%]
bio,biomass,Fragilariopsis cf cylindrus [%]
bio,biomass,Fragilariopsis cf oceanica [%]
bio,biomass,Fragilariopsis cylindrus [% total]
bio,biomass,Fragilariopsis cylindrus [%]
bio,biomass,Fragilariopsis cylindrus [cells/l]
bio,biomass,Fragilariopsis oceanica [% total]
bio,biomass,Fragilariopsis oceanica [%]
bio,biomass,Fragilariopsis pseudonana [% total]
bio,biomass,Fragilariopsis pseudonana [%]
bio,biomass,Fragilariopsis pseudonana [cells/l]
bio,biomass,Fragilariopsis reginae-jahniae [% total]
bio,biomass,Fragilariopsis reginae-jahniae [%]
bio,biomass,Fragilariopsis reginea-jahniae [%]
bio,biomass,Fragilariopsis sp [%]
bio,biomass,Fragilariopsis sp. [%]
bio,biomass,Fragilariopsis sp. [cells/l]
bio,biomass,Fragilariopsis spp. [% total]
bio,biomass,Fragilaripsis sp. [%]
bio,biomass,Fragilaropsis sp. [%]
bio,biomass,Fratercula arctica [n]
bio,biomass,Fritillaria borealis [cells/dm2]
bio,biomass,Fritillaria borealis [ind/m3]
bio,biomass,Fritillaria borealis; 1 lt [ind/m3]
bio,biomass,Fritillaria borealis; 20 gte [ind/m3]
bio,biomass,Fucus distichus subsp. Evanescens [biomass (g)]
bio,biomass,Fucus distichus subsp. Evanescens [cover (%)]
bio,biomass,Fucus distichus subsp. Evanescens [n]
bio,biomass,Fucus sp. [biomass (g)]
bio,biomass,Fucus sp. [cover (%)]
bio,biomass,Fucus vesiculosus [biomass (g)]
bio,biomass,Fucus vesiculosus [cover (%)]
bio,biomass,Fulmarus glacialis [n]
bio,biomass,G. auriculata [%]
bio,biomass,G. fruticosa [#/m**2]
bio,biomass,G. fruticosa [#]
bio,biomass,G. fruticosa std dev [±]
bio,biomass,G. gordialis [%]
bio,biomass,G. morhua [#/m**2]
bio,biomass,G. morhua std dev [±]
bio,biomass,G. norvegicum [%]
bio,biomass,G. rubiformis [#/m**2]
bio,biomass,G. rubiformis std dev [±]
bio,biomass,G. soldanii [%]
bio,biomass,G. tenuispinus c l [mm] (Average)
bio,biomass,G. tenuispinus f l [mm] (Average)
bio,biomass,G. tenuispinus m l [mm] (Average)
bio,biomass,G. wrightii [%]
bio,biomass,GLGU colony count [n]
bio,biomass,Gadiculus argenteus [kg]
bio,biomass,Gadus morhua [individuals/m3]
bio,biomass,Gadus morhua [kg]
bio,biomass,Gadus morhua immature stock [10^6 kg]
bio,biomass,Gadus morhua spawning stock [10^6 kg]
bio,biomass,Gadus ogac [individuals/m3]
bio,biomass,Gaetanus brevispinus - AF [ind/m3]
bio,biomass,Gaetanus brevispinus - CV [ind/m3]
bio,biomass,Gaetanus brevispinus [ind/m3]
bio,biomass,Gaetanus tenuispinus (CV) [ind/m3]
bio,biomass,Gaetanus tenuispinus - AF [ind/m3]
bio,biomass,Gaetanus tenuispinus - AF/AM [ind/m3]
bio,biomass,Gaetanus tenuispinus - AM [ind/m3]
bio,biomass,Gaetanus tenuispinus - CI-CIII [cells/dm2]
bio,biomass,Gaetanus tenuispinus - CI-CIII [ind/m3]
bio,biomass,Gaetanus tenuispinus - CIV [ind/m3]
bio,biomass,Gaetanus tenuispinus - CIV-CV [ind/m3]
bio,biomass,Gaetanus tenuispinus - CV [ind/m3]
bio,biomass,Gaetanus tenuispinus [ind/m3]
bio,biomass,Gammarellus homari [ind/m3]
bio,biomass,Gammaridae [ind/m3]
bio,biomass,Gammaridae indet. - CV [ind/m3]
bio,biomass,Gammaridae indet. [ind/m3]
bio,biomass,Gammarus indet. [biomass (g)]
bio,biomass,Gammarus indet. [n]
bio,biomass,Gammarus oceanicus [biomass (g)]
bio,biomass,Gammarus oceanicus [cover (%)]
bio,biomass,Gammarus oceanicus [n]
bio,biomass,Gammarus setosus [biomass (g)]
bio,biomass,Gammarus setosus [n]
bio,biomass,Gammarus wilkitzkii [ind/m3]
bio,biomass,Gastropoda (veliger (incl. Margarites and Velutina)) [ind/m3]
bio,biomass,Gastropoda (veliger) [ind/m3]
bio,biomass,Gastropoda - larvae [ind/m3]
bio,biomass,Gastropoda - veliger [ind/m3]
bio,biomass,Gastropoda - veliger; 5 gte [ind/m3]
bio,biomass,Gastropoda cf. Velutina - veliger [ind/m3]
bio,biomass,Gavia stallata [n]
bio,biomass,Gavia stellata eggs hatched [n]
bio,biomass,Gavia stellata eggs laid [n]
bio,biomass,Gen. et sp. nonident [%]
bio,biomass,Globicephala melas [n]
bio,biomass,Globobulimina spp. [%]
bio,biomass,Globoloculina spp. [%]
bio,biomass,Glyptocephalus cynoglossus [kg]
bio,biomass,Gomphoneis exigua [% total]
bio,biomass,Gomphonema acuminatum [% total]
bio,biomass,Gomphonemopsis sp. [%]
bio,biomass,Gonyaulax sp. [cells/l]
bio,biomass,Gonyaulax spp. [% total]
bio,biomass,Gonyaulux sp. [%]
bio,biomass,Gonyaulux spinifera [%]
bio,biomass,Gonyaulux triacanthe [%]
bio,biomass,Gonyaulux verior [%]
bio,biomass,Gorgonocephalus [g]
bio,biomass,Grammatophora angulosa  [%]
bio,biomass,Grammatophora arctica [%]
bio,biomass,Grammatophora arcuatum [%]
bio,biomass,Grammatophora islandica [%]
bio,biomass,Grammatophora oceanica [%]
bio,biomass,Grimmia sp. [%]
bio,biomass,Groenlandiella brevispina [% total]
bio,biomass,Groenlandiella spp. [% total]
bio,biomass,Guinardia delicatula [%]
bio,biomass,Guinardia sp. [%]
bio,biomass,Guinardina delicatula [%]
bio,biomass,Guttulina spp. [%]
bio,biomass,Gymnodiniales indet. 40-50um [cells/l]
bio,biomass,Gymnodinium aff. aestuariale [%]
bio,biomass,Gymnodinium arcticum [% total]
bio,biomass,Gymnodinium arcticum [%]
bio,biomass,Gymnodinium arcticum [cells/l]
bio,biomass,Gymnodinium cf arcticum [%]
bio,biomass,Gymnodinium galeatum [% total]
bio,biomass,Gymnodinium galeatum [cells/l]
bio,biomass,Gymnodinium gracilentum [% total]
bio,biomass,Gymnodinium gracilentum [cells/l]
bio,biomass,Gymnodinium simplex [% total]
bio,biomass,Gymnodinium simplex [cells/l]
bio,biomass,Gymnodinium sp [%]
bio,biomass,Gymnodinium sp. 1 [cells/l]
bio,biomass,Gymnodinium sp. 10-20um [cells/l]
bio,biomass,Gymnodinium sp. 13 [cells/l]
bio,biomass,Gymnodinium sp. 20-30um [cells/l]
bio,biomass,Gymnodinium sp. 30-40um [cells/l]
bio,biomass,Gymnodinium sp. 5 [cells/l]
bio,biomass,Gymnodinium sp. < 10um [cells/l]
bio,biomass,Gymnodinium sp. [%]
bio,biomass,Gymnodinium sp. [cells/l]
bio,biomass,Gymnodinium sp. cf. G. parvum (GG6) [cells/l]
bio,biomass,Gymnodinium sp. krasnal [cells/l]
bio,biomass,Gymnodinium spp. [% total]
bio,biomass,Gymnodinium wulffii [% total]
bio,biomass,Gymnodinium wulffii [cells/l]
bio,biomass,Gymnodinium/Gyrodinium sp. [%]
bio,biomass,Gyrodinium flagellare [cells/l]
bio,biomass,Gyrodinium formosum [cells/l]
bio,biomass,Gyrodinium fusiforme [cells/l]
bio,biomass,Gyrodinium grave [cells/l]
bio,biomass,Gyrodinium sp. 1 [cells/l]
bio,biomass,Gyrodinium sp. 10-20um [cells/l]
bio,biomass,Gyrodinium sp. 2 [cells/l]
bio,biomass,Gyrodinium sp. 20-30um [cells/l]
bio,biomass,Gyrodinium sp. 30-40um [cells/l]
bio,biomass,Gyrodinium sp. [%]
bio,biomass,Gyrodinium sp. [cells/l]
bio,biomass,Gyrodinium spirale [%]
bio,biomass,Gyrodinium spirale [cells/l]
bio,biomass,Gyrodinium spp. C [µg/l]
bio,biomass,Gyrodinium spp. [% total]
bio,biomass,Gyrodinium spp. std dev [±]
bio,biomass,Gyrodinium/Gymnodinium sp. [%]
bio,biomass,Gyrosigma arcuatum [%]
bio,biomass,Gyrosigma coelophilum [%]
bio,biomass,Gyrosigma concilians [% total]
bio,biomass,Gyrosigma fasciola [%]
bio,biomass,Gyrosigma sp. [%]
bio,biomass,Gyrosigma spp. [% total]
bio,biomass,Gyrosigma tenuissimum [%]
bio,biomass,H. araneus CO2 (ha) [µmol/kg]
bio,biomass,H. araneus O2 (ha) [%]
bio,biomass,"H. araneus O2 (ha) [%] (Oxygen optode, Aanderaa)"
bio,biomass,H. araneus [#/m**2]
bio,biomass,H. araneus [#]
bio,biomass,H. araneus [HCO3]- (ha) [µmol/kg]
bio,biomass,H. araneus [HCO3]- (ha) [µmol/kg] (Calculated after Heisler 1986)
bio,biomass,H. araneus [HCO3]- (ha) std dev [±]
bio,biomass,H. araneus [HCO3]- (ha) std dev [±] (Calculated after Heisler 1986)
bio,biomass,H. araneus cov [%]
bio,biomass,H. araneus lactate (ha) [mmol/l]
bio,biomass,H. araneus lactate (ha) std dev [±]
bio,biomass,H. araneus pCO2 (ha) [Torr]
bio,biomass,H. araneus pCO2 (ha) [Torr] (Calculated after Heisler 1986)
bio,biomass,H. araneus pCO2 (ha) std dev [±]
bio,biomass,H. araneus pCO2 (ha) std dev [±] (Calculated after Heisler 1986)
bio,biomass,H. araneus pH (ha)
bio,biomass,H. araneus pO2 (ha) [Torr]
bio,biomass,H. araneus pO2 (ha) [Torr] (Calculated)
bio,biomass,H. araneus pO2 (ha) std dev [±]
bio,biomass,H. araneus pO2 (ha) std dev [±] (Calculated)
bio,biomass,H. araneus resp [s]
bio,biomass,H. araneus resp [s] (Enzymatic test)
bio,biomass,H. araneus resp std dev [±]
bio,biomass,H. araneus resp std dev [±] (Enzymatic test)
bio,biomass,H. arctica [#/m**2]
bio,biomass,H. arctica [g/m**2]
bio,biomass,H. arctica cov [%]
bio,biomass,H. compactus c l [mm]
bio,biomass,H. compactus f l [mm] (Average)
bio,biomass,H. compactus m l [mm]
bio,biomass,H. elegans [%]
bio,biomass,H. elongata [%]
bio,biomass,H. fascigatoavicularis [#/m**2]
bio,biomass,H. fascigatoavicularis [g/m**2]
bio,biomass,H. finmarchicum [#/m**3]
bio,biomass,H. globosa biom wm [g/m**2]
bio,biomass,H. gothiceps [#/m**2]
bio,biomass,H. gothiceps [%]
bio,biomass,H. grimshawi-T [%]
bio,biomass,H. imbricata [#/m**2]
bio,biomass,H. imbricata [#]
bio,biomass,H. imbricata [g/m**2]
bio,biomass,H. indeterminata [%] (juveniles)
bio,biomass,H. neglectum [#/m**2]
bio,biomass,H. neglectum [%]
bio,biomass,H. orbiculare [%]
bio,biomass,H. pellucidus [#/m**2]
bio,biomass,H. pellucidus [#]
bio,biomass,H. pellucidus std dev [±]
bio,biomass,H. platessoides [#/m**2] (species questionable)
bio,biomass,H. platessoides std dev [±]
bio,biomass,H. pyriformis [#/m**2]
bio,biomass,H. pyriformis [#]
bio,biomass,H. pyriformis cov [%]
bio,biomass,H. rubra [g/m**2]
bio,biomass,H. superflexus ad l [mm] (Average)
bio,biomass,H. uniremis [#/m**2]
bio,biomass,H. uniremis [%]
bio,biomass,Halamphora exigua [% total]
bio,biomass,Halectinosoma sp. [#/m**2]
bio,biomass,Halectinosoma sp. [%]
bio,biomass,Haliclona sp. [#]
bio,biomass,Halitholus cirratus [ind/m3]
bio,biomass,Halitholus cirratus cf. [ind/m3]
bio,biomass,Halitholus pauper cf. [ind/m3]
bio,biomass,Hantzschia weyprechtii [% total]
bio,biomass,Hapalidiaceae sp. [#/m**2]
bio,biomass,Hapalidiaceae sp. cov [%]
bio,biomass,Harmothoe sp. [#/m**2]
bio,biomass,Harmothoe sp. cov [%]
bio,biomass,Harpacticoida - juvenile [ind/m3]
bio,biomass,Harpacticoida [cells/dm2]
bio,biomass,Harpacticoida [ind/m3]
bio,biomass,Harpacticoida indet. [ind/m3]
bio,biomass,Harpacticoida spp. c l [mm]
bio,biomass,Harpacticus sp. [#/m**2] (juveniles)
bio,biomass,Harpacticus sp. [%] (juveniles)
bio,biomass,Haslea crucigeroides [% total]
bio,biomass,Haslea crystallina [% total]
bio,biomass,Haslea spicula [% total]
bio,biomass,Haslea spp. [% total]
bio,biomass,Haslea vitrea [% total]
bio,biomass,Helicostomella fusiformis [%]
bio,biomass,Helicostomella sp. [%]
bio,biomass,Helicostomella subulata [%]
bio,biomass,Heliozoa [% total]
bio,biomass,Heliozoa not det. [%]
bio,biomass,Heliozoa sp [%]
bio,biomass,Heliozoa sp. [%]
bio,biomass,Henricia [g]
bio,biomass,Henricia sp. [#]
bio,biomass,Heterocapsa  sp. [cells/l]
bio,biomass,Heterocapsa arctica [% total]
bio,biomass,Heterocapsa rotundata [% total]
bio,biomass,Heterocapsa rotundata [cells/l]
bio,biomass,Heterocapsa spp. [% total]
bio,biomass,Heterocapsa triquetra [cells/l]
bio,biomass,Heterorhabdus norvegicus - AF [ind/m3]
bio,biomass,Heterorhabdus norvegicus - AF/AM [ind/m3]
bio,biomass,Heterorhabdus norvegicus - AM [ind/m3]
bio,biomass,Heterorhabdus norvegicus - CI [ind/m3]
bio,biomass,Heterorhabdus norvegicus - CII [ind/m3]
bio,biomass,Heterorhabdus norvegicus - CIII [ind/m3]
bio,biomass,Heterorhabdus norvegicus - CIV [ind/m3]
bio,biomass,Heterorhabdus norvegicus - CV [ind/m3]
bio,biomass,Heterorhabdus norvegicus [cells/dm2]
bio,biomass,Heterorhabdus norvegicus [ind/m3]
bio,biomass,Heterorhabdus spp. c l [mm]
bio,biomass,Heterorhabdus spp. f l [mm]
bio,biomass,Heterorhabdus spp. m l [mm]
bio,biomass,Heterosigma sp. [%]
bio,biomass,Hiatella [g]
bio,biomass,Hildenbrandia rubra [biomass (g)]
bio,biomass,Hildenbrandia rubra [cover (%)]
bio,biomass,Hippoglossoides platessoides [individuals/m3]
bio,biomass,Hippoglossoides platessoides [kg]
bio,biomass,Hippoglossus hippoglossus [kg]
bio,biomass,Hippolytidae - zoea [ind/m3]
bio,biomass,Histrionicus histrionicus [n]
bio,biomass,Holothuroidea [g]
bio,biomass,Homeognathia brevis [ind/m3]
bio,biomass,Hormathia sp. [#]
bio,biomass,Hyale nilssoni [biomass (g)]
bio,biomass,Hyale nilssoni [cover (%)]
bio,biomass,Hyale nilssoni [n]
bio,biomass,Hyalinella sp. [%]
bio,biomass,Hyas - megalopa [ind/m3]
bio,biomass,Hyas - zoea [ind/m3]
bio,biomass,Hyas [g]
bio,biomass,Hyas [ind/m3]
bio,biomass,Hyas araneus (megalopa) [ind/m3]
bio,biomass,Hyas araneus (zoea) [ind/m3]
bio,biomass,Hyas spp. [#/m**2]
bio,biomass,Hyas spp. std dev [±]
bio,biomass,Hydractinia sp. [#/m**2]
bio,biomass,Hydractinia sp. [g/m**2]
bio,biomass,Hydrozoa (larvae) [ind/m3]
bio,biomass,Hydrozoa (medusae) [ind/m3]
bio,biomass,Hydrozoa - larvae [ind/m3]
bio,biomass,Hydrozoa - medusae [ind/m3]
bio,biomass,Hydrozoa [cells/dm2]
bio,biomass,Hydrozoa [g]
bio,biomass,Hydrozoa [ind/m3]
bio,biomass,Hydrozoa indet. (cf. Obelia sp.) - medusae [ind/m3]
bio,biomass,Hydrozoa indet. (cf. Plotocnide) - medusae [ind/m3]
bio,biomass,Hydrozoa indet. - medusae [ind/m3]
bio,biomass,Hydrozoa indet. [ind/m3]
bio,biomass,Hydrozoa sp. cov [%]
bio,biomass,Hymenodora glacialis [ind/m3]
bio,biomass,Hyperammina spp. [%]
bio,biomass,Hyperia galba [ind/m2]
bio,biomass,Hyperia galba [ind/m3]
bio,biomass,Hyperia medusarum [ind/m3]
bio,biomass,Hyperiidae [ind/m3]
bio,biomass,Hyperiidae indet. [ind/m3]
bio,biomass,Hyperoche medusarum [ind/m3]
bio,biomass,Hyperoodon ampullatus [n]
bio,biomass,I. anguipes [#/m**2]
bio,biomass,I. anguipes [g/m**2]
bio,biomass,I. islandica [%]
bio,biomass,I. norcrossi [%]
bio,biomass,I. pallidum [%]
bio,biomass,I. panopla [#/m**2]
bio,biomass,I. panopla std dev [±]
bio,biomass,I. teretis [%]
bio,biomass,Interact B. carpenterii [#]
bio,biomass,Interact B. inermis [#]
bio,biomass,Interact B. margaritacea [#]
bio,biomass,Interact Bythocaris sp. [#]
bio,biomass,Interact C. arcticus [#]
bio,biomass,Interact C. debris [#]
bio,biomass,Interact C. gelida [#]
bio,biomass,Interact G. fruticosa [#]
bio,biomass,Interact V. striolatum [#]
bio,biomass,Isopoda [ind/m3]
bio,biomass,Isopoda indet. [ind/m3]
bio,biomass,Isthmoplea sphaerophora [biomass (g)]
bio,biomass,J. granulata [#/m**2]
bio,biomass,J. granulata [g/m**2]
bio,biomass,J. pagenstecheri [#/m**2]
bio,biomass,J. pagenstecheri [g/m**2]
bio,biomass,Jaera albifrons [biomass (g)]
bio,biomass,Jaera albifrons [cover (%)]
bio,biomass,Jaera albifrons [n]
bio,biomass,Jaschnovia brevis [ind/m3]
bio,biomass,K. apicularis [%]
bio,biomass,K. bradyi [%]
bio,biomass,K. glaucum C [µg/l]
bio,biomass,K. glaucum std dev [±]
bio,biomass,K. hyalina [#/m**2]
bio,biomass,K. hyalina [#]
bio,biomass,K. hyalina std dev [±]
bio,biomass,Katodinium glaucum [cells/l]
bio,biomass,Katodinium sp. [%]
bio,biomass,Kurpiszia kryokonites [% total]
bio,biomass,L. annotinum [%]
bio,biomass,L. arcana [#/m**2]
bio,biomass,L. arctica [%]
bio,biomass,L. caeca [#/m**2]
bio,biomass,L. caeca [g/m**2]
bio,biomass,L. compressa [#/m**2]
bio,biomass,L. confusa [%]
bio,biomass,L. digitata biom wm [g/m**2]
bio,biomass,L. fabalis [#/m**2]
bio,biomass,L. fluctuosa [#]
bio,biomass,L. fluctuosa [%]
bio,biomass,L. frigidus [#/m**2]
bio,biomass,L. frigidus [#]
bio,biomass,L. frigidus std dev [±]
bio,biomass,L. fuscatus [%]
bio,biomass,L. gibba [%]
bio,biomass,L. helicina [#/m**3]
bio,biomass,L. helicina l [mm]
bio,biomass,L. helicina larv l [mm]
bio,biomass,L. helicina w [mg]
bio,biomass,L. hyalascidia [%]
bio,biomass,L. hyperboreus bill l [mm]
bio,biomass,L. hyperboreus head l [mm]
bio,biomass,L. hyperboreus std dev [±] (bill length [mm])
bio,biomass,L. hyperboreus std dev [±] (head length [mm])
bio,biomass,L. hyperboreus std dev [±] (mass [g])
bio,biomass,L. hyperboreus std dev [±] (tarsus length [mm])
bio,biomass,L. hyperboreus std dev [±] (wingspan [mm])
bio,biomass,L. hyperboreus tarsus l [mm]
bio,biomass,L. hyperboreus wing [mm]
bio,biomass,"L. hyperboreus, mass [g]"
bio,biomass,L. lampretaeformis [#/m**2] (species questionable)
bio,biomass,L. lampretaeformis std dev [±]
bio,biomass,L. maculatus [#]
bio,biomass,L. obtusata [#/m**2]
bio,biomass,L. parviflora [%]
bio,biomass,L. saccharina biom wm [g/m**2]
bio,biomass,L. saxatilis [#/m**2]
bio,biomass,L. solidungula biom wm [g/m**2]
bio,biomass,L. strobila C [µg/l]
bio,biomass,L. strobila std dev [±]
bio,biomass,LB adult female [n]
bio,biomass,LB adult male [n]
bio,biomass,LB adult unknown [n]
bio,biomass,LB juvenile female [n]
bio,biomass,LB juvenile male [n]
bio,biomass,LB juvenile unknown [n]
bio,biomass,LB unknown unknown [n]
bio,biomass,Laboea strobila [cells/l]
bio,biomass,Lafoea sp. [#/m**2]
bio,biomass,Lafoea sp. [g/m**2]
bio,biomass,Lagena spp. [%]
bio,biomass,Lagenorhynchus acutus [n]
bio,biomass,Lagenorhynchus albirostris [n]
bio,biomass,Lagopus muta eggs hatched [n]
bio,biomass,Lagopus muta eggs laid [n]
bio,biomass,Lagopus mutus [n]
bio,biomass,Laminaria spp. young biom wm [g/m**2]
bio,biomass,Laminariales sp. [#/m**2]
bio,biomass,Laminariales sp. cov [%]
bio,biomass,Laomedea flexuosa [biomass (g)]
bio,biomass,Laomedea flexuosa [n]
bio,biomass,Larus argentatus [n]
bio,biomass,Larus canus [n]
bio,biomass,Larus delawarensis [n]
bio,biomass,Larus fuscus [n]
bio,biomass,Larus glaucoides [n]
bio,biomass,Larus glaucoides/hyperboreus [n]
bio,biomass,Larus hypeboreus eggs hatched [n]
bio,biomass,Larus hypeboreus eggs laid [n]
bio,biomass,Larus hyperboreus [n]
bio,biomass,Larus hyperboreus breeding population [%]
bio,biomass,Larus hyperboreus colony count [n]
bio,biomass,Larus hyperboreus eggs hatched [n]
bio,biomass,Larus hyperboreus eggs laid [n]
bio,biomass,Larus marinus [n]
bio,biomass,Larus smithonianus [n]
bio,biomass,Larus sp. [n]
bio,biomass,Lauderia sp. [%]
bio,biomass,Lebbeus polaris [g]
bio,biomass,Leegaardiella sol [% total]
bio,biomass,Leegaardiella sol [cells/l]
bio,biomass,Lennoxia faveolata [% total]
bio,biomass,Lennoxia faveolata [cells/l]
bio,biomass,Lenticulina sp. [%]
bio,biomass,Lenticulina spp. [%]
bio,biomass,Lepetidae [g]
bio,biomass,Leprotintinnus pellucidus [%]
bio,biomass,Leptagonus decagonus [individuals/m3]
bio,biomass,Leptochlinus maculatus [individuals/m3]
bio,biomass,Leptoclinus maculatus [kg]
bio,biomass,Leptocylindrus danicus [%]
bio,biomass,Leptocylindrus minimus [% total]
bio,biomass,Leptocylindrus minimus [%]
bio,biomass,Leptocylindrus sp [%]
bio,biomass,Leptocylindrus sp. [%]
bio,biomass,Lessardia elongata [% total]
bio,biomass,Lessardia elongata [cells/l]
bio,biomass,Leucocryptos marina [% total]
bio,biomass,Leucocryptos marina [cells/l]
bio,biomass,Leucocryptos remigera [% total]
bio,biomass,Leucon sp. [ind/m3]
bio,biomass,Licmophora gracilis [%]
bio,biomass,Licmophora gracilis [cells/l]
bio,biomass,Licmophora sp [%]
bio,biomass,Licmophora sp. [%]
bio,biomass,Licmophora sp. [cells/l]
bio,biomass,Licmophora spp. [% total]
bio,biomass,Licomophora gracilis [%]
bio,biomass,Limacina helicina (veliger) [ind/m3]
bio,biomass,Limacina helicina - adult [ind/m3]
bio,biomass,Limacina helicina - veliger [ind/m3]
bio,biomass,Limacina helicina [cells/dm2]
bio,biomass,Limacina helicina [ind/m2]
bio,biomass,Limacina helicina [ind/m3]
bio,biomass,Limacina helicina; 5 gte [ind/m3]
bio,biomass,Limacina helicina; 5 lt [ind/m3]
bio,biomass,Limacina retroversa (=cf. Margerites); 5 lt [ind/m3]
bio,biomass,Limacina retroversa [ind/m3]
bio,biomass,Limacina retroversa; 5 gte [ind/m3]
bio,biomass,Limacina retroversa; 5 lt [ind/m3]
bio,biomass,Liparis gibbus [individuals/m3]
bio,biomass,Liparis sp. [individuals/m3]
bio,biomass,Lithodes maja [g]
bio,biomass,Littorina indet. [biomass (g)]
bio,biomass,Littorina indet. [n]
bio,biomass,Littorina obtusata [biomass (g)]
bio,biomass,Littorina obtusata [cover (%)]
bio,biomass,Littorina obtusata [n]
bio,biomass,Littorina saxatilis [biomass (g)]
bio,biomass,Littorina saxatilis [cover (%)]
bio,biomass,Littorina saxatilis [n]
bio,biomass,Lochmaniella oviformis [%]
bio,biomass,Lohmanniella oviformis [% total]
bio,biomass,Lohmanniella oviformis [cells/l]
bio,biomass,Lubbockia sp. [ind/m3]
bio,biomass,Lucicutia sp. [ind/m3]
bio,biomass,Lumpenus lampretaeformis [individuals/m3]
bio,biomass,Lycodes gracilis [kg]
bio,biomass,Lycopodium spp. [%]
bio,biomass,Lyrella david-manii [%]
bio,biomass,Lyrella praetexta [%]
bio,biomass,Lyrella sp. [%]
bio,biomass,M. alpestris [%]
bio,biomass,M. arenaria [%]
bio,biomass,M. boeckii [#/m**2]
bio,biomass,M. boeckii [g/m**2]
bio,biomass,M. chuckchiensis [%]
bio,biomass,M. coarctata [#/m**2]
bio,biomass,M. coarctata std dev [±]
bio,biomass,M. groenlandicus [#/m**2]
bio,biomass,M. groenlandicus [g/m**2]
bio,biomass,M. helicenus [#/m**2]
bio,biomass,M. helicenus [g/m**2]
bio,biomass,M. hygropetricus [%]
bio,biomass,M. longa [#/m**3]
bio,biomass,M. longa [%]
bio,biomass,M. longa c1 C [mg/m**3] (Average)
bio,biomass,M. longa c1 l [mm] (Average)
bio,biomass,M. longa c2 C [mg/m**3] (Average)
bio,biomass,M. longa c2 l [mm] (Average)
bio,biomass,M. longa c3 C [mg/m**3] (Average)
bio,biomass,M. longa c3 l [mm] (Average)
bio,biomass,M. longa c4 C [mg/m**3] (Average)
bio,biomass,M. longa c4 l [mm] (Average)
bio,biomass,M. longa c5 C [mg/m**3] (Average)
bio,biomass,M. longa c5 l [mm] (Average)
bio,biomass,M. longa f C [mg/m**3] (Average)
bio,biomass,M. longa f l [mm] (Average)
bio,biomass,M. longa m C [mg/m**3] (Average)
bio,biomass,M. longa m l [mm] (Average)
bio,biomass,M. megalua [#/m**2]
bio,biomass,M. megalua [#]
bio,biomass,M. monoceros [#]
bio,biomass,M. monoceros [#] (seen by observer 1)
bio,biomass,M. monoceros [#] (seen by observer 2)
bio,biomass,M. monoceros [#] (unique sightings)
bio,biomass,M. norvegica C [µg/m**3]
bio,biomass,M. norvegica [#/m**2]
bio,biomass,M. norvegica [#/m**3]
bio,biomass,M. norvegica [%]
bio,biomass,M. norvegica c C [mg/m**3] (Average)
bio,biomass,M. norvegica c l [mm] (Average)
bio,biomass,M. norvegica naup C [mg/m**3] (Average)
bio,biomass,M. norvegica naup l [mm] (Average)
bio,biomass,M. obesa [%]
bio,biomass,M. ovum dm [mg]
bio,biomass,M. ovum l [mm]
bio,biomass,M. ovum std dev [±] (dry mass)
bio,biomass,M. ovum std dev [±] (length)
bio,biomass,M. packardi [%]
bio,biomass,M. pusillus c C [mg/m**3] (Average)
bio,biomass,M. pusillus c l [mm] (Average)
bio,biomass,M. pusillus f C [mg/m**3] (Average)
bio,biomass,M. pusillus f l [mm] (Average)
bio,biomass,M. pusillus m C [mg/m**3] (Average)
bio,biomass,M. pusillus m l [mm] (Average)
bio,biomass,M. pygmaea [#/m**2]
bio,biomass,M. pygmaea [%]
bio,biomass,M. pygmaeus c C [mg/m**3] (Average)
bio,biomass,M. pygmaeus c l [mm] (Average)
bio,biomass,M. pygmaeus f C [mg/m**3] (Average)
bio,biomass,M. pygmaeus f l [mm] (Average)
bio,biomass,M. pygmaeus m C [mg/m**3] (Average)
bio,biomass,M. pygmaeus m l [mm] (Average)
bio,biomass,M. rubella [%]
bio,biomass,M. spitzbergensis [#]
bio,biomass,M. spitzbergensis [%]
bio,biomass,M. subrotundra [%]
bio,biomass,M. truncata [%]
bio,biomass,M. wireni [%]
bio,biomass,Macoma sp. [#]
bio,biomass,Macoma sp. [%]
bio,biomass,Maldanidae [g]
bio,biomass,Mallotus villosus [individuals/m3]
bio,biomass,Mallotus villosus [kg]
bio,biomass,Mallotus villosus immature stock [10^6 kg]
bio,biomass,Mallotus villosus mature stock [10^6 kg]
bio,biomass,Manguinea spp. [% total]
bio,biomass,Margarites sp. [#/m**2]
bio,biomass,Margarites sp. cov [%]
bio,biomass,Margaritidae [g]
bio,biomass,Margerites helicinus [biomass (g)]
bio,biomass,Margerites helicinus [n]
bio,biomass,Meganyctiphanes norvegica [ind/m3]
bio,biomass,Megaptera novaeangliae [n]
bio,biomass,Melanogrammus aeglefinus [kg]
bio,biomass,Melosira arctica [% total]
bio,biomass,Melosira arctica [%]
bio,biomass,Melosira moniliformis [%]
bio,biomass,Melosira sp [%]
bio,biomass,Melosira sp. [%]
